"idEvent","projectID","sessionID","lang","pageName","pageTitle","menu","pageOrder","answer","answerCorrect","lastUpdate"
"12","2","rhiJF6Rs3yhUheDeFbulFpsBU1Frywnr02XmPwNs3GkxOq2n9zBUJsy1aCI8oxMYmKs2tQIA91OeFqEK4ezvl1SFYvR7qTv4hIwIDcNA7DU9TwUfB1FhTMiM88M9G6siEI4OCmDcwJBiyJU7iVHL5e","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:01:26"
"13","2","rhh7ZMMAJsAO7AMjj1v4ckD0Twv8EWfufuRwiy0u92ZWUH2otagmkd7NUtkRZKKGRmfRjphQyyqFS2Tmey0RQ1m9ob5sy3ZtHhXAF3WhBkk1dmTos4B47lVbneEdR4UvP7sWso3cLwDLiesu0zvapW","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:01:26"
"14","2","7zWxIobxr5SFtF8a9rVfccti8Cb0G1bkGYvBW6CH2221aoy9oquAkWtC5h954IS6f8jYiMkZQmjIdIrtWJYYEz4wT9i0sr4x7NnP0eqEEEaOzuIU8RNyI7RB3DFqoocEoSM9VWw3X0k8eJiN73I9W3","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:01:36"
"15","2","ikAGdrIYi88rYdFL4eoExCmTUfB4P8Sf5y4IbeYZUIVAU9n4uWG2960MJeBhVaB6OELKvudeIVLGlRFFxUnZX6VMIU7ndp2eYYaWO5ZEATfbOLxgAW9EUS3Dcjwv2H9Nqv1dLhCBSYyya8Y6jgfyPN","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:01:39"
"16","2","DLkH3adeq3ivRvZBegxGcHUyRPWavFEzlteQHllgkdIyEFavDJ7AeFftaxUe5xxbFSZqT7uUe6rHmx5QiiiJPRfnNhsXTv0O6IaP5AYg7ChDNZcWJmdJ2MGRdxGwsty6GsEUOGCFBhFxW0vljZ2Ud6","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:01:47"
"17","2","qiCWJDd6Lm5uHeSj0jCKaKVs8E8gRXxNazN1lI0p9tW4zJo9wjoSf6RBkyhwIz0UcppshQGfDakBSkTbqagCl9ZrKhT6axXKQ0Z3jYVzaBvYrXV1e5xmSG230EjBWYEUJAfjVC8KqeWA0Y2K9JhmKt","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:01:55"
"18","2","NQQY5VhWyoPI7bj5ndF70yXsOnV7P1Crumv17FFF6pge11NUD0a98L20SpGjVyEvuNz8OBs7dWas1FcxxdK8lEMmwdUQWAvfUduiy2OMp0OeHLiNjTCdy9ZjY1IXtQ4x5kXxzVPS5B1CQJejBfh9lu","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:02:02"
"19","2","epVAXHoGVGDzCB8UqdUttMjPtYqOrhjTdMuobfI21v7Tx9q3jXCHCwacTNc7Asp7aiqy6QFNXk32Uo0JmYbbAe0fDanjs92rrVcc2XsaeiZfsVg5y67OtTzFeDcl4dpTrDeEP49TCr1bmfEBgFY735","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:06"
"20","2","e0WazGgsgLb7XamgQRyuSzKilZBVDYTBFet4UyzTuH8J4PvnrfvUPaVJuOvEGMtMoFVERD251Kah24ThAHd1cx4XVRVT6YOkiGVx79cpmCbFkZSArZizygXOjE9YQTlubpiW01jP3w3NBztHhS1eVU","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:07"
"21","2","AbY7Dl7T04bgspMnNcbOqNiVB0fLnl2BVCQkMtKp2Wmtw2jXNaVVN9X9J6fFwxKHfG4rbtLrq3qLHg8uNrtkPGceAfKnswyiPeNDHszSvxICp2HdMquz3zZm6w9s6fw7VFFxHgJNOVPDFxnGHHzvyK","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:14"
"22","2","Oh0La677DNWWtuUa5rmvWi0VVyzCZcHQKeQpv9ipLL8IuaApvtM66YvR4P9jSYN7lIGtND5Eat2z3kv9Z8VsG0s0oFzoLuf7mjfnlE8NIpfHL2t6A5N3aMKrzwWqEb5NQNs1GfJkxCaXmVUuugwgkh","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:15"
"23","2","rhh7ZMMAJsAO7AMjj1v4ckD0Twv8EWfufuRwiy0u92ZWUH2otagmkd7NUtkRZKKGRmfRjphQyyqFS2Tmey0RQ1m9ob5sy3ZtHhXAF3WhBkk1dmTos4B47lVbneEdR4UvP7sWso3cLwDLiesu0zvapW","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:02:16"
"24","2","aekPB1IU2EwBIUPqYFRJU78uLZYl6WZtwQ8HJb6h3PNyGaEvaXGNjTt8PseEwYaWmjKyC8kR366zn8mzNG9SCNZP6aTlDN0mM7OynHUHEHZDPeWBFXJNYAzi2UFcYzd4iAGTiqltjwsooLbexCqLy1","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:18"
"25","2","Q9RPNEerQCAkvZXN3yClqvCEgojE8HHtMAhJuG1JmrmXTchwMPNvG6wy9EatgKd8OQUFkVsjdWGtbgT3TRqPGmRnWuwqJ0WYGzomG2skJH4TK8MH5r3a5Fhe8yG0W9Os9TVJxxkicBTA3PL8L6iVsy","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:18"
"26","2","P8CpQqIq4RYHlDW3rEAepjI6cPQLU9QN4Mj5MTaZQatelFfa415OLd0Uf2d77nrjflUHD8mKh99AFpxI18pj2nJ8g2AtjAmRNZxQWR4hMeomKKaJ8E0fJHssVM3odr7vnZbQ0KbYeJVfkUwIREW0Cr","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:19"
"27","2","DLkH3adeq3ivRvZBegxGcHUyRPWavFEzlteQHllgkdIyEFavDJ7AeFftaxUe5xxbFSZqT7uUe6rHmx5QiiiJPRfnNhsXTv0O6IaP5AYg7ChDNZcWJmdJ2MGRdxGwsty6GsEUOGCFBhFxW0vljZ2Ud6","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:02:19"
"28","2","DYgKawhc26IovhOG1Asc7Vj4ZLF0IbQm5G8LrArFJ24jsfAvegsJREhq62iwv1KYSEO0mPWj8sqOxATlaWMUwXEcJsOsvljt69OEZ1nMfR2EHWKgK6iwAIsASzAHwzRcHFxTjh9IKnSWmBfHYW8i8W","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:22"
"29","2","noHE04MFjvk8WA2wKuiu1yWY6DSz7mcYd0MShzc89KKgfuGDvWYRGSYRhfaGUtwQ6WyHfv74Fz18SuRX7lNfHKH475gSp1B1X7maseQqeI8JnuICCOS4k9cLRFOLD1aKWatSqobW4IrgZ9k0x5OUCw","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:31"
"30","2","RPO13VQr2FEkgJSC6CorheqWXh87O2FbKtehXnZ2LBdyXdJNOMgwNgS2IefMGIE4S9X5AazKXfstT9TaWTyUppMo6XXSXDYrsosagPVMw9CBP3KMiZXqiwZYV3mG2q4Hu6AcSv963EosgpX8f0g3pS","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:32"
"31","2","0QZyJiIqSLUgqK3gH6GaW0uDsL6yXynUuzXRDuXtl40FweaxU0eRCCjV8HhOgxYSAWLyqThe0CI8TmL6d6Un028iuvtl9WO4teajrNZKa35jR6Zue4Rrvba2ldA8cxjFAsxTRSsbKhAJVYLzOaHTUz","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:37"
"32","2","1bC9GFH4kXCJNuya3PLBt4xo6WqHZR4WH1jUJW0B1PWyVxsDRj3yR2WDzEYW3uPklHmZkmN7iWjPOm8RN0UnHfHNOpvkTpWEBOI5u7shXHF5eNTysLiUMHPDHbILxGeE92SjtMYBzSGuY90IGOeOLS","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:38"
"33","2","Q9RPNEerQCAkvZXN3yClqvCEgojE8HHtMAhJuG1JmrmXTchwMPNvG6wy9EatgKd8OQUFkVsjdWGtbgT3TRqPGmRnWuwqJ0WYGzomG2skJH4TK8MH5r3a5Fhe8yG0W9Os9TVJxxkicBTA3PL8L6iVsy","it","quiz-02.php","Primo programma-Quiz","menu_1","02","2","0","2023-02-24 14:02:41"
"34","2","e0WazGgsgLb7XamgQRyuSzKilZBVDYTBFet4UyzTuH8J4PvnrfvUPaVJuOvEGMtMoFVERD251Kah24ThAHd1cx4XVRVT6YOkiGVx79cpmCbFkZSArZizygXOjE9YQTlubpiW01jP3w3NBztHhS1eVU","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:02:43"
"35","2","DLkH3adeq3ivRvZBegxGcHUyRPWavFEzlteQHllgkdIyEFavDJ7AeFftaxUe5xxbFSZqT7uUe6rHmx5QiiiJPRfnNhsXTv0O6IaP5AYg7ChDNZcWJmdJ2MGRdxGwsty6GsEUOGCFBhFxW0vljZ2Ud6","it","quiz-03.php","Variabili-Quiz","menu_1","03","2","1","2023-02-24 14:02:47"
"36","2","UjzpXR1XEb3Tb0oqFO7PPSGU3ziVCNKfROVRcNmaO9w3vivfxahWIVAEVfFr6Tt10iF35NjWC4dC9Ily85jawLFPBpFhYP37vuvkXmc9vGc0edvKkSGACGbStctyRrPGcYZ3HhxNBTblfeYf5ygNhy","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:48"
"37","2","Fx4a5MF36f4J2U37XPX90aQpcNGc5gCY3adFCaFRJtPmoMAzX5CLWLz5ad6glUWQAewemmfoLgwh0tv1e4RyXxOK8uuRQXtqZSXByPDUbHBUjU0nk62kTTR5MYfMKdG7qzDIbZBkIaDDqTPmDAWWHc","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:51"
"38","2","9kT5odtpmtSQRmEaWTJrLpCM2n6HE2b2Ydb6q6Jifu2lrnU6Gk3pJNVSpMVoVs3Dbx6fcztFDV1BzGPjTyOdtLHHoYIebjMzuh3mTcqp0hCGBXBwK3Z4mRtovPuFTVLmfBfRwhWyZ0757msJCWOIDI","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:56"
"39","2","hy2Ukwmaj8Be6sHaXXC5YPPwfYozmrdX9gNjsCS7v6ntN464eoZ1bCj12INMD5m985RDBN7j7ov8R8JyrTzxPXjjRbc3QQ95mV504Jc3OSmZioQhPXzkTXT71gQ1LlTxuqdfAD26z569LKL6vcMTKu","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:02:56"
"40","2","NQQY5VhWyoPI7bj5ndF70yXsOnV7P1Crumv17FFF6pge11NUD0a98L20SpGjVyEvuNz8OBs7dWas1FcxxdK8lEMmwdUQWAvfUduiy2OMp0OeHLiNjTCdy9ZjY1IXtQ4x5kXxzVPS5B1CQJejBfh9lu","it","quiz-03.php","Variabili-Quiz","menu_1","03","3","0","2023-02-24 14:03:00"
"41","2","VNf3mCyzQIswovqrhgyQrNpTlIifLwHeBJpcpKBdLqNiETaG1J4gptphg4M7mKWZiGFLUDox7ML8g6Kma5hTiNw3GK2JY3SN87z5sTvZx1GdVNkdemE4i2SsviWCSg0V7imXumSBEvgz31tMK8HgQn","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:00"
"42","2","MT4tK9d98NFP2gqkcIbWvTWyNYFm6vOSONoDHckD9ErsipF7uhHEAAr3uOOUUJVZcWTNFym0FmXR4F9QcmoBZrGxn85eNAWui6AI4sWL37Q82kEQscOQnBStWPyoJIZgcuLzDrqQrHn7u0B4eIRbbm","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:01"
"43","2","e0WazGgsgLb7XamgQRyuSzKilZBVDYTBFet4UyzTuH8J4PvnrfvUPaVJuOvEGMtMoFVERD251Kah24ThAHd1cx4XVRVT6YOkiGVx79cpmCbFkZSArZizygXOjE9YQTlubpiW01jP3w3NBztHhS1eVU","it","quiz-03.php","Variabili-Quiz","menu_1","03","1","0","2023-02-24 14:03:02"
"44","2","sVtTjR9ej9uCIul99ztegigehfLlbXKz4w5Nxq1O4GMiJRulKF3MbLmf8SGLO2l4UvHmeiwZ2mOxqNL4tnp6AxI2JbQMXxH1ap6i43Yy95fmLlBrtsqSAiWewwDyXodMnjOQaEEMucRWRZhDPVdkkM","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:07"
"45","2","My4NliDX9JpQiQlSn0J9yNT01PMhKqXTdv7UCOHR9vxp5sugBnl665OGinMk8BeBHo9pY2mxYJKDVMiSulWfazUNcz4Y7t3D8hu4cGtweEtqkMcDR8dwaxRiLOOITtCbucYVIb3anIVW8t35LKE7Ct","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:08"
"46","2","pmzgaX8NY7mZU2HLqNKViyYGjRFP5U7yDy9HmIf9ItGhj91qKcaQJH5tefqTGiq0uyvyfnPwijGheLtVhKlvTpPtKKTqwRPXIwnsxGweqNLQHjQZre8K2vtZfrOR9WqyJBTe2MAgrb5yhHtwUJhQJ2","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:14"
"47","2","pYRGeFKU8BOQho1AE1nrTum6sTiJZg4E6vT4uYur0zTU3d5B3YsLcAccidNeX42kJNAJqiNxUDREqkW7OKabKlLAIk0r1dAuVdiFqkfj6kgNa1qp6wgW3vrGpcBPmM5rsvzM40NFpc8snwaKMyAg4L","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:15"
"48","2","MToKOclnePHTmkfMICE4Bsgw2krnbnqZWDLyhpbdq94EwrxKsJm6aHZwz7cWRU98un1u5GpOaC2IOKWAqNJcr33k4A65IrybBDOPMdQihXAtNnqWj3QyArp5vQ3l9vBmXqDHVwdc65LbqHMVNdnCmq","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:21"
"49","2","fLN2eEbhA3tQUVND6Lv4eI7TS8i5yD8z0gUzH7kZYY5SkvxWTnXDWq993cg8tNOAdRDJxKcb0SJrKVu8ujiaUoWArgaXQcOaGYOuxbw2D8estl1MAjidnllMiaozkPmB8m68r73x8e1NIahiOq1KDp","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:21"
"50","2","HZC24gVmpF3H4oEv9P9eQRwV1Kqxs5uhJXnhBY0oKHUzlzqdDNNfTP3QRpMGCqzUbWR966nEPL0qCdrsTj2erC56CvKtiPKzLwn9hjOYwiKwBQM38LZpyUutxCesIZ1xDSPeC51S1b24K3bYBEmorJ","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:23"
"51","2","hy2Ukwmaj8Be6sHaXXC5YPPwfYozmrdX9gNjsCS7v6ntN464eoZ1bCj12INMD5m985RDBN7j7ov8R8JyrTzxPXjjRbc3QQ95mV504Jc3OSmZioQhPXzkTXT71gQ1LlTxuqdfAD26z569LKL6vcMTKu","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:25"
"52","2","YoP1BN5Epv8FtciGHzTJrwoAPGUEPjHV3zjdwHnhmKC9kYHUmYxHCb4bhU4J8mHpgpe0k9ZEQGRKl2ZBs2mJzNwQ1cg62HZZZN0eeboJnCOl4jHqk23oI9GVDqZJ8xwFdmbYku8fYXUqKQ9iQvgSFL","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:26"
"53","2","WrUUszBMnN5PalV7NGejCc7PqLuP1squIIfF9795SPwswFubTmTzbFzYtigc7Td4VJzoe1lxQgJetrE9lb2MDy4qD0pBNuCgo9JmqLAoB3LB71E02HuNIWdSDINAfVjfmg61xSxv63AcahPQU6HluV","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:29"
"54","2","rhh7ZMMAJsAO7AMjj1v4ckD0Twv8EWfufuRwiy0u92ZWUH2otagmkd7NUtkRZKKGRmfRjphQyyqFS2Tmey0RQ1m9ob5sy3ZtHhXAF3WhBkk1dmTos4B47lVbneEdR4UvP7sWso3cLwDLiesu0zvapW","it","quiz-03.php","Variabili-Quiz","menu_1","03","2","1","2023-02-24 14:03:29"
"55","2","UUq2LOP16emeuaAis3r28HG5WVYMHmuUQHD2bhrwNYyD5sbcyD2uQ2rtQrhspY8O1W4M0HS8T4kHi2TRVwXmvjuxnVmYDrhlozVmp0CNzR099sI2Pavm0ns46613aJSLTzcfm4eQWE09jRlaJBoSXL","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:33"
"56","2","2DU2ePNCCpLrewnyjM1FI4jPADzW8iBYruk3S4peydC4lLNx4aab10QVbtsmTjvc8K4BwAqjMD31NzxH9b8tnx8EOj62vhYZmYfCJDOWWlbzWSNXfebYi4Mfr2zuNOfa4Xj931UjIgA1FT9Gf7kPMb","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:35"
"57","2","6MUEZSrZqT4eH4b2tGYBLbmbiH9DnVeN8dGvg0avcjGHXNh9f7cSgA26s87p5R8PpB5nOD9Y9IfXYqBS3oMtHumtwcPDEIrKDrbK9svZkVs7MdtPMDwHEipVaOK7p8WsriRRpBnXwnKs6TaGMDJCK8","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:37"
"58","2","rhiJF6Rs3yhUheDeFbulFpsBU1Frywnr02XmPwNs3GkxOq2n9zBUJsy1aCI8oxMYmKs2tQIA91OeFqEK4ezvl1SFYvR7qTv4hIwIDcNA7DU9TwUfB1FhTMiM88M9G6siEI4OCmDcwJBiyJU7iVHL5e","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:40"
"59","2","P8CpQqIq4RYHlDW3rEAepjI6cPQLU9QN4Mj5MTaZQatelFfa415OLd0Uf2d77nrjflUHD8mKh99AFpxI18pj2nJ8g2AtjAmRNZxQWR4hMeomKKaJ8E0fJHssVM3odr7vnZbQ0KbYeJVfkUwIREW0Cr","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:40"
"60","2","MT4tK9d98NFP2gqkcIbWvTWyNYFm6vOSONoDHckD9ErsipF7uhHEAAr3uOOUUJVZcWTNFym0FmXR4F9QcmoBZrGxn85eNAWui6AI4sWL37Q82kEQscOQnBStWPyoJIZgcuLzDrqQrHn7u0B4eIRbbm","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:40"
"61","2","AbY7Dl7T04bgspMnNcbOqNiVB0fLnl2BVCQkMtKp2Wmtw2jXNaVVN9X9J6fFwxKHfG4rbtLrq3qLHg8uNrtkPGceAfKnswyiPeNDHszSvxICp2HdMquz3zZm6w9s6fw7VFFxHgJNOVPDFxnGHHzvyK","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:41"
"62","2","My4NliDX9JpQiQlSn0J9yNT01PMhKqXTdv7UCOHR9vxp5sugBnl665OGinMk8BeBHo9pY2mxYJKDVMiSulWfazUNcz4Y7t3D8hu4cGtweEtqkMcDR8dwaxRiLOOITtCbucYVIb3anIVW8t35LKE7Ct","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:44"
"63","2","DCCvwTqznUDClb4fz5x5a7V0sobDmVkArer81oSvjGlyksdPCo404fQmiWuN733moa31Xb5oS8vinU9ik8yk29mqLgQsbaPUdLxpwKBkP32bmRp70AIRHndglsunUJyhK6uXNemGzXCCFA6IzryQrG","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:44"
"64","2","Fx4a5MF36f4J2U37XPX90aQpcNGc5gCY3adFCaFRJtPmoMAzX5CLWLz5ad6glUWQAewemmfoLgwh0tv1e4RyXxOK8uuRQXtqZSXByPDUbHBUjU0nk62kTTR5MYfMKdG7qzDIbZBkIaDDqTPmDAWWHc","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:46"
"65","2","HZC24gVmpF3H4oEv9P9eQRwV1Kqxs5uhJXnhBY0oKHUzlzqdDNNfTP3QRpMGCqzUbWR966nEPL0qCdrsTj2erC56CvKtiPKzLwn9hjOYwiKwBQM38LZpyUutxCesIZ1xDSPeC51S1b24K3bYBEmorJ","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:47"
"66","2","2DU2ePNCCpLrewnyjM1FI4jPADzW8iBYruk3S4peydC4lLNx4aab10QVbtsmTjvc8K4BwAqjMD31NzxH9b8tnx8EOj62vhYZmYfCJDOWWlbzWSNXfebYi4Mfr2zuNOfa4Xj931UjIgA1FT9Gf7kPMb","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:49"
"67","2","pFvdHWTCTsr3qCDRKavSf5hlmefORmUx0JMyo8dioDlV06Zv2tNQycJY85yFq4PDSSMaUpzH246LVkD1Xuv8HhurOcR80qWHg8u4uzu3YBQxMeGObcJQyBlP5r3vixuLIq9IgPSgGJBWeTCC9Avw0a","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:50"
"68","2","ut2gMl9hFxEz88gp7is2euGXFwWNYcKTraaP029JC4EA7OyeRcOWf4xRa9MYagexnP9sWJVlEZEtBLb5odTPlVfreT507aaJMyP9NN38F3ehudaz05mhTQqyIMwhFju4wnytwjWQV9v79CeA6bh7GE","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:50"
"69","2","aekPB1IU2EwBIUPqYFRJU78uLZYl6WZtwQ8HJb6h3PNyGaEvaXGNjTt8PseEwYaWmjKyC8kR366zn8mzNG9SCNZP6aTlDN0mM7OynHUHEHZDPeWBFXJNYAzi2UFcYzd4iAGTiqltjwsooLbexCqLy1","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:50"
"70","2","yQHE87NHlNfMxXkPqZyOkAwPS8gspVEijNcdNVDI98nCQF5Yj5yqPnbbyLsQJHl2Y730DT1q4mk8fIvc2PlLRSNTOMBgHG8Ojd0f8Vvn0BXgEpohIBVS7s0vg4cGDWQsLid3puPEjMCI6xrv5Zkl3y","it","quiz-01.php","Introduzione-Quiz","menu_1","01","2","1","2023-02-24 14:03:52"
"71","2","DYgKawhc26IovhOG1Asc7Vj4ZLF0IbQm5G8LrArFJ24jsfAvegsJREhq62iwv1KYSEO0mPWj8sqOxATlaWMUwXEcJsOsvljt69OEZ1nMfR2EHWKgK6iwAIsASzAHwzRcHFxTjh9IKnSWmBfHYW8i8W","it","quiz-02.php","Primo programma-Quiz","menu_1","02","1","1","2023-02-24 14:03:52"
