"sessionID";"SurveyTimestamp";"Q_1";"Q_2";"Q_3";"Q_4";"Q_5";"Q_6";"Q_7";"Q_8";"Q_9";"Q_10";"Q_11";"Q_12";"Q_13";"Q_14";"Q_15";"Q_16";"Q_17";"Q_18";"Q_19";"Q_20";"Q_21";"Q_22";"Q_23";"Q_24";"Q_25";"Q_26";"Q_27";"Q_28"
"88D2KGoj7nXKblriwKmEWE8PxnSrE8xBRgSXiq5xTQ5Mh9T6ZXx2wwMiAI8I9J7ckVWzhM48Jbebl58PvF0kfvWeiwMqUrQ8mebyYMBb8z0ae8MIt3nBoyBmCeAVL8X1wRwzLc7N21KeO8zlWQPo2j";"2024-03-07 15:51:52";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;4;3;3;4;4;2;4;2;4;2;4;2;4;2;6;6;6;6;7;7;7;7;21;"FEMMINA"
"uw4M3LnC0hkd3dsMdrnrXw2QFH4NKp3hjzucENAISFHOXzPz2MhTvSFrH1adODRbMSHEjUFFkSarEwyW1e8lgEDRoEslBaVCarHyinw1w3jFTMGlaqFvoe9SJRtLy5po8IeVeNMyvJDzvVufl3mCIs";"2024-03-07 15:53:47";"POCO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";4;3;3;3;3;3;3;3;3;3;3;3;3;3;2;4;3;5;3;3;5;4;4;21;"FEMMINA"
"Cgd8YaW2WT5m6xwyFCC2eeyylz1KfSQ72lS3YLDwVAaumRuEqUehgrc23CXXfcFjvg2YFfUkag9VK21WFNqyGawxlAdtBuzXgVLH0dPvdfc41xcdJJvfBx01FH2T9uyQkpLK7mgnOOWwN05HhfOonS";"2024-03-07 15:53:57";"MOLTO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";4;4;4;4;4;5;1;5;1;3;1;5;1;5;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;"MASCHIO"
"is923wUyMOH2hniK7syVxCBhzPBOC2ZZWjgBvghhiZaG74a5aaQqYOD5boTTS6W9bzKSAFsUiXJpdV94KNi28sY60JMs0df5zJlk0tVYEoFZa3yWS6mn32nth5Fy3P21opZI7oKu67LCkL50MqbwVg";"2024-03-07 15:54:43";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;4;5;5;5;4;4;4;21;"FEMMINA"
"1XuccfNFCL6lOoV7VGjk8WINjuzul9NyhMQ1n3R4B8KMyA304jFUQg6EpwdoS0wulUQRKXzH12hjloP4TUKS5lIPZAhF8vIqmBZNym48wd9nN7vgyGszYkS5XAp30UvIYFJxIsT9bttKIkY3uNixCN";"2024-03-07 15:55:01";"POCO";"FUNZIONI";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";3;3;3;3;3;4;1;3;1;3;1;2;3;2;2;6;2;5;5;5;5;5;7;-1;"MASCHIO"
"IyYHbkIXf1CQqIDm3K7a40J5UABBqJ2nfWtoqaeSoJfNdQXdaBBJlUQEtemXPlfCSetczxOArcZZW8Ek1BWj0XK3uiZ25VQ6c0b9uyUKaK9O1fkwzmEo1yTxkvRI0dQoTJnJgejeQeVZbmV9QqPm88";"2024-03-07 15:55:17";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";3;3;3;3;3;5;1;5;1;5;1;5;1;5;1;6;7;7;5;6;6;7;7;21;"FEMMINA"
"qXoFNXmfrfS1jR8sfqy2wfT0X4qMy5b0Oa5Ohh1UBlNmGVVAG0fJkdFuubP2h1xDhNmN62cGOvrvxvzwitLL5zVcped9rpCpc1CskJvMEmRd9BcVnHyIG7enOWpYe6zOxCFXQvKrbAp1MmB7GUBj7L";"2024-03-07 15:55:25";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";3;4;3;3;3;3;1;3;1;4;1;4;1;4;1;6;6;6;7;6;7;7;7;21;"FEMMINA"
"mmNfYCtKyszsUL30tL7qo05PMuriHyrDAXwanR5Hv0HhhTy2L2Q2WQE2nrA1xy3e9pL3qfGbNkfgeEDAAkwYZ753rOhZMhtcFMlyI7qLEs4qnQMwgZyDPvuxbaGPzXRHXS1kXK8LqFmcAu1Bj9U5lZ";"2024-03-07 15:55:29";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"TIPI DI DATO E CONVERSIONI";3;4;3;2;3;3;2;3;4;3;2;3;2;3;2;5;4;5;5;4;5;4;5;20;"FEMMINA"
"TIeKItHquejXW65o3D6r3tYgeXcrhU9ni6vbcCOZir3Dtgq7IfRO65hhyZjWVRQ2Sln6M9opmdfoI9a5pWbGMnz4yE6q13yGvFcIK3otmxsDlhcEyUWlCQA3dN18iDs1NZIubfFQILRhWWUasAj0Us";"2024-03-07 15:57:22";"MOLTO";"FUNZIONI";"VARIABILI";5;5;5;5;5;5;2;5;1;5;1;5;1;5;1;7;7;7;7;7;7;7;7;21;"FEMMINA"
"z03hH0zvrjV72zR3NUqTqEwGFNQcs65fUXL9Md1v8fC8gF6wQOjGuzrG3Lc8l4k4DzoFvgxaMZsvt3hzVazVHWyDS6AebF5do9alL38DnVLb4EqIIbPev5QkXdf537my8tpUpIEhPOewVKI22UtZ3c";"2024-03-07 15:57:39";"POCO";"FUNZIONI";"TIPI DI DATO E CONVERSIONI";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;4;6;4;4;6;7;21;"MASCHIO"
"mcMrnjGhNmttDBfhjw4FAGMKChV2WXOOeonu6YvMt8e5Cis1ce7gZCabHFSk6zDkgLjivB9W2BixTodRir0kE60PpQYDKG5kJpKoXO6iAuxIUQtxZT6NQdr51zHXW2biBRZvJ8QtEeWWMFEX6Nnf0o";"2024-03-07 15:58:22";"ABBASTANZA";"-1";"LISTE E DIZIONARI";4;4;4;4;4;5;2;2;3;4;1;3;3;3;3;6;3;5;4;5;6;5;6;21;"MASCHIO"
"QyXUKRnFvQjVrTnRltEXZPxm36DEwKRUdSvDkPiCOJ1T94uVAaYzlaoFnYdw9tKYi4v06Ayso9vHoAhJjskDBgh0jvitu6LsaUFBHayd8oHqEeyPYKKWi1uuw9sHA5wcrKAQHk7Z8EM5xzbBbGcfM8";"2024-03-07 15:58:57";"ABBASTANZA";"TIPI DI DATO E CONVERSIONI";"VARIABILI";2;3;3;3;3;4;1;3;4;3;2;2;1;3;1;6;5;4;6;4;4;6;6;21;"FEMMINA"
"26vInaNIZ2eYBBTS2BY0aqVYthRq8y3BSYrKhgSaeBeqJb7N4KQ21VH0sHYxVF9ntPjGiHqrdN0fYemf3NUvvCKwuh0VsXquWBJQJU8FRI2UX1UB18PYF5ciKFIUUb2aOxNLJH9bYEloWMtTT6WHJv";"2024-03-07 15:58:57";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";5;2;3;2;2;3;1;5;5;4;3;4;1;5;1;7;6;5;5;5;5;7;7;21;"MASCHIO"
"WsNZoJqCEXWFVf3RBRlX2mKqxO12k0mYKtfzGlLfIU0jEVDTpHZGr14XhHRFmA9ceMDp4K1VTk6s14e2vRwit9lHq5DIwqzu9XiDlINQbbMeOCy4TczXyVJMQ78bYhzTgtB3qJfQ1uPMSIuDGcE2fs";"2024-03-07 15:58:59";"ABBASTANZA";"LISTE E DIZIONARI";"VARIABILI";3;4;4;4;4;3;1;5;1;5;1;5;1;4;1;7;7;7;7;6;6;7;7;20;"FEMMINA"
"kCuJnfcl4KpuTemDL8QARS3dTRfZxuoMs0kdx2q3QHfwfEWMIg8qTSnwAYoXiJZ8pJXs8lZSslvpKhqA2tnc3BjTvI7ooyHMIwqAXHpXAGuohJLULDNvSgxyNxzJTWXvRIxLx1K84hgI3Uww8NVYKd";"2024-03-07 15:59:20";"ABBASTANZA";"TIPI DI DATO E CONVERSIONI";"LISTE E DIZIONARI";4;5;4;4;4;5;1;5;1;4;1;5;1;5;1;7;6;6;6;6;6;4;7;-1;"FEMMINA"
"0fEI3C7ZVbHNPQ3hgqWpnF97S5Crv15NcK8WakL64pyRIO5i1kfJW3cGpTQeUTRvcnmIk6LKrk8dBRkxh6hVWbvgIji6aXIum7tAJzOsqMzbKy8Ibf61SBHh8BIDHPT5JIugf0MXIxEAFJ1DkZXvCY";"2024-03-07 15:59:53";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"TIPI DI DATO E CONVERSIONI";4;3;2;3;3;3;1;4;3;3;2;5;1;5;2;7;5;6;6;6;5;6;5;21;"MASCHIO"
"1ShQ8fGFuZAjyzcoqZEkwYgotBeIFdb6HhefK7wc10vzYmJOBNeljsxxfHp5yC3mgLLdWnrsOxe9CeUSgYAV41uS6lX2ib3OcRoXYayaBV8vGRyg0fJkEPByw9i82sxL66XzWeME6kLQTWaMnU1gsa";"2024-03-07 16:00:16";"ABBASTANZA";"LISTE E DIZIONARI";"FUNZIONI";5;5;5;5;5;5;2;3;2;3;2;3;2;4;2;6;3;2;3;2;7;6;7;21;"FEMMINA"
"bILo4rChewduy0g8r2e5Xgtc432FmDflEqqAZ4JTmHuSHnoGuo1x6wP8P7Edj9QWYZOiuQfZ1LdZDeZE0vRPkUM88CuXRZ5tWbrTApowb26JHXQhAijmhVRBBbxzECxY0sch4yWneE8OVz3zZdR34O";"2024-03-07 16:01:05";"POCO";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;2;4;3;5;5;5;5;21;"FEMMINA"
"5VuLHwTZWMTJTpHAenqmXWE90LSIVIsJlHImH8KTbD4yfoQtLh2EVJHKSw8Veq1eFBt7gz2Wh7BQzpVm90w9m9pZwcQsgEXTFxRhPwztSf0GXiZKQhRvl8Zdqf98HzR0Mjn75T7b6s1ygv8TjAGSFT";"2024-03-07 16:01:07";"ABBASTANZA";"LISTE E DIZIONARI";"VARIABILI";3;4;4;4;4;3;1;5;1;4;3;5;1;5;2;7;7;7;7;5;5;6;7;21;"FEMMINA"
"ScH5vTaLADTtopLa98BQnH3O5mWFh29FfHsm3q8M3deXctdylEeifKsgAwdQg3eRzBoo5E2KzrlSF9zYVmC6sJhsAgVcu7v8bwBqU7K8DBfikdy6CLh6uHNYOqpUL59WQ405XldI6xWkjfkdvqSj0b";"2024-03-07 16:02:10";"POCO";"LISTE E DIZIONARI";"VARIABILI";3;3;3;3;3;2;4;2;4;2;1;2;4;3;4;4;3;3;3;4;4;4;4;20;"FEMMINA"
"o9U7jQK1MWwXGiW2tQBsQNDc3LmAXIskf2rou384vJ3jGyc72tOeuNJ7JSDzm0jAD9I2qiAzaRNltRx2A7GSjPyX4bDJb6U9uwroJwODYhBF91z9VB5pDG5oChDqHioXKVEuyfNIeAj1hDq4DB3N5T";"2024-03-07 16:02:25";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";3;3;3;3;3;3;3;3;3;3;3;4;2;4;4;5;4;4;6;4;4;4;5;21;"FEMMINA"
"mJ1eJmim7swaSzl5FzlLH6LnEXFgBD4yCkdmdDJwwHijU2L9bqt9zxPnryIraA7mBS8YU91gU603kRbVIGloUqcnmEPqenzjMmDQ6bRsYbIdxDCjroZM8tq7JlEEZJCdU1kFP1kAVPgmbd6FAGvJQ1";"2024-03-07 16:02:38";"PER NIENTE";"-1";"-1";1;1;1;1;1;2;5;1;5;1;-1;1;5;1;5;5;3;-1;-1;-1;-1;-1;-1;20;"FEMMINA"
"GdguhIng8wofzlIiaccmAOl1ATwQzY7mKUVCg8sOunCoaVSnWtgAolCvOuuq9fwni5NANf7d6bTAXyiPtzP53TlmmRo0oZtuVlaLP1o5z7kfFZYKTjMTSZ0UsfcWs16KPBoSa7eissIaAnV5pTh0I1";"2024-03-07 16:04:50";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";5;4;4;3;3;5;2;5;2;5;5;5;2;4;4;6;6;6;6;7;7;6;6;21;"FEMMINA"
"I0tygUzTW23TJIlrOL6T9TM9A2kCj68DDNlSrqxsXu9nYZXHEx8cO8mWOP9nPYyCeF8Zhwy43xeva8fgoCGYCjzuAkBicx0Vr5n8EUcKswrfzJyy0maVO0898nFxEuUjwLf6kMi2S0v2hKM9M7hRG5";"2024-03-07 16:05:03";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"LISTE E DIZIONARI";3;3;3;3;3;3;3;5;2;4;2;5;1;5;4;3;3;3;7;7;7;7;7;21;"FEMMINA"
"LkKs7keuYJZYp3rafN808Z54jygPXNQ58AxFZcdUCtxh85MPqkXwU93FXk9ijbjcgmUpp3MFiFT787exVtTJGPlAv94yN8loOZb85LCgnTn6P00y6PfOa2JY243szxxfDhvuneFuXkOnXHtgT1aAsh";"2024-03-07 16:05:05";"ABBASTANZA";"ISTRUZIONI CONDIZIONALI (IF) E CICLI (FOR)";"VARIABILI";5;5;5;5;5;3;2;3;3;3;2;4;2;4;3;6;5;7;7;6;7;5;5;21;"FEMMINA"
